gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q
ird1,FBgn0260935,ird1-PA-3331,21,31,101,97,2.43523613023693e-15,5.66221162911547e-13
Hrb98DE,FBgn0001215,Hrb98DE-PA-669,136,158,319,319,2.47363630521569e-15,5.72894168287954e-13
Tsc1,FBgn0026317,Tsc1-PA-3096,41,50,131,145,3.21942893869119e-15,7.42707165082908e-13
TppII,FBgn0020370,TppII-PA-3696,517,509,394,386,3.55846956002756e-15,8.17727997183299e-13
fsd,FBgn0033813,fsd-PA-571,189,200,125,107,3.586256758517e-15,8.20919192420531e-13
sens,FBgn0002573,sens-PA-1558,5,7,46,54,3.7363198061043e-15,8.51967471462963e-13
CG1582,FBgn0030246,CG1582-PA-3615,76,71,192,188,4.29790525636146e-15,9.76252648577674e-13
CG7414,FBgn0037135,CG7414-PA-822,27,35,105,111,5.70890136672997e-15,1.28685609510053e-12
Hsp26,FBgn0001225,Hsp26-PA-373,52,55,144,161,5.70418848119549e-15,1.28685609510053e-12
CG16820,FBgn0032495,CG16820-PA-444,77,79,29,29,6.79841762731027e-15,1.52083692512761e-12
crol,FBgn0020309,crol-PA-2160,167,193,374,369,6.77750482523865e-15,1.52083692512761e-12
klar,FBgn0001316,klar-PA-6177,104,94,235,233,7.7485243620253e-15,1.72683906329242e-12
Chro,FBgn0044324,Chro-PA-1726,69,48,199,179,8.69822821495255e-15,1.93120286435589e-12
TER94,FBgn0261014,TER94-PA-1638,1466,1576,2621,2290,8.84624691917587e-15,1.95671030169546e-12
Aats-val,FBgn0027079,Aats-val-PA-2032,200,190,415,377,8.97894448091238e-15,1.97865113117061e-12
CG7200,FBgn0032671,CG7200-PA-1150,97,87,37,41,9.14193192732572e-15,2.00707886901116e-12
MED28,FBgn0039337,MED28-PA-540,234,250,172,141,9.34967557861235e-15,2.04508570489514e-12
CG7587,FBgn0038523,CG7587-PA-311,25,20,0,0,9.3917492287309e-15,2.04670821383908e-12
Oscp,FBgn0016691,Oscp-PA-573,1608,1693,1443,1425,9.48840776530731e-15,2.05262412382241e-12
Ranbp16,FBgn0053180,Ranbp16-PB-2683,247,285,128,147,9.45532025360364e-15,2.05262412382241e-12
Xbp1,FBgn0021872,Xbp1-PC-710,201,193,382,414,9.8001476336219e-15,2.11232525162935e-12
CG8336,FBgn0036020,CG8336-PA-351,422,431,777,754,1.00227626009839e-14,2.15245204977785e-12
RpS18,FBgn0010411,RpS18-PA-28,1467,1417,1223,1266,1.45241034062391e-14,3.10784238755677e-12
CG7044,FBgn0038854,CG7044-PA-2904,59,50,16,14,1.49366734870114e-14,3.1845850642452e-12
glo,FBgn0259139,glo-PA-1608,1254,1269,1138,1020,1.62919207092629e-14,3.44863173207041e-12
Tm1,FBgn0003721,Tm1-PE-1788,64,78,30,20,1.62643279205935e-14,3.44863173207041e-12
eIF5,FBgn0030719,eIF5-PA-1153,2054,2033,1841,1767,1.64155201970043e-14,3.46238497069529e-12
rab3-GAP,FBgn0027505,rab3-GAP-PA-57,348,345,254,241,1.69903399206277e-14,3.57087364780224e-12
GstD3,FBgn0010039,GstD3-PA-505,242,232,147,160,1.73691564995222e-14,3.63754483882546e-12
CG4098,FBgn0036648,CG4098-PA-874,792,743,1305,1279,1.85586557332215e-14,3.85928552919929e-12
Mi-2,FBgn0262519,Mi-2-PA-4536,28,27,94,104,1.85027408164434e-14,3.85928552919929e-12
CG8112,FBgn0037612,CG8112-PA-1414,27,19,0,0,1.86625551479768e-14,3.86727432255865e-12
CG2310,FBgn0039665,CG2310-PA-273,50,42,142,130,1.97457818785223e-14,4.07743491671947e-12
CG9153,FBgn0035207,CG9153-PA-43,28,35,135,107,2.79071402698648e-14,5.74264770054939e-12
Rm62,FBgn0003261,Rm62-PA-1389,649,679,1177,1080,2.97462275574821e-14,6.09983578850617e-12
CG3817,FBgn0038275,CG3817-PA-729,168,130,59,53,3.02211697105123e-14,6.17578491613646e-12
Cand1,FBgn0027568,Cand1-PA-2188,0,0,29,26,3.18633637759018e-14,6.48891909612831e-12
CG30122,FBgn0050122,CG30122-PB-2179,213,232,441,431,3.39325517563255e-14,6.88655890592807e-12
sun,FBgn0014391,sun-PA-121,1236,1320,899,708,3.69774893627058e-14,7.47882385884478e-12
Nc73EF,FBgn0010352,Nc73EF-PA-2094,44,45,143,121,3.99172543456353e-14,8.01848029640997e-12
SmD2,FBgn0261789,SmD2-PA-189,1062,1092,979,850,3.97989800458201e-14,8.01848029640997e-12
exba,FBgn0250753,exba-PA-1059,3400,3504,3328,2939,4.99357475315538e-14,9.99696738209662e-12
CG10249,FBgn0027596,CG10249-PA-3354,498,483,378,379,5.18531742671945e-14,1.03457593441621e-11
CG17493,FBgn0040010,CG17493-PA-162,105,138,343,306,5.79492573488304e-14,1.15231220219098e-11
CG13384,FBgn0032036,CG13384-PB-936,122,126,272,272,5.9406467970033e-14,1.17547127807122e-11
RpL23A,FBgn0026372,RpL23A-PA-621,6500,6577,6109,5950,5.95119902711396e-14,1.17547127807122e-11
dgo,FBgn0086898,dgo-PA-2671,543,533,457,387,6.28892421806643e-14,1.23803762156856e-11
CG12773,FBgn0024365,CG12773-PA-1323,84,93,206,216,7.60901384641729e-14,1.49293401907546e-11
fax,FBgn0014163,fax-PA-597,276,274,509,525,7.79354636596877e-14,1.52407702411054e-11
CG7712,FBgn0033570,CG7712-PA-300,1722,1695,1526,1486,8.16707617351213e-14,1.59185209457188e-11
Tsp,FBgn0031850,Tsp-PA-2433,72,62,176,170,8.32024983267228e-14,1.61637274545381e-11
CG9769,FBgn0037270,CG9769-PA-213,38,30,140,109,8.51613591359323e-14,1.64900313044259e-11
CG3198,FBgn0029887,CG3198-PA-808,68,80,183,187,9.42831655796434e-14,1.81966509568712e-11
Eip75B,FBgn0000568,Eip75B-PA-3384,84,91,229,189,9.92733558136703e-14,1.90973480379275e-11
CG6610,FBgn0035675,CG6610-PA-90,506,539,408,410,9.97675010625164e-14,1.91300944082795e-11
CG10565,FBgn0037051,CG10565-PA-1077,1877,1993,2996,3102,1.0557228565598e-13,2.0177631217705e-11
Fili,FBgn0085397,Fili-PC-2112,4,7,55,42,1.16274612620902e-13,2.21514389424686e-11
Rev1,FBgn0035150,Rev1-PA-1869,72,82,202,177,1.19503130945558e-13,2.26932987375652e-11
ry,FBgn0003308,ry-PA-3693,25,18,0,0,1.23118045347511e-13,2.33048253914529e-11
miple,FBgn0027111,miple-PA-314,1224,1331,2162,1943,1.42118953714303e-13,2.68155308896463e-11
Sema-1b,FBgn0016059,Sema-1b-PA-1170,372,380,270,287,1.46703797556862e-13,2.75924613888953e-11
CG2807,FBgn0031266,CG2807-PA-3798,533,552,445,413,1.51159952235117e-13,2.83403316161953e-11
Rsf1,FBgn0011305,Rsf1-PA-279,198,220,409,409,1.56696898669818e-13,2.92854602583610e-11
feo,FBgn0030241,feo-PA-733,57,43,10,13,1.74335033559353e-13,3.23941246532424e-11
Ufd1-like,FBgn0036136,Ufd1-like-PA-226,156,150,321,315,1.74427370377105e-13,3.23941246532424e-11
RpL27,FBgn0039359,RpL27-PA-12,2662,2869,4501,4085,2.18050541530423e-13,4.03687425758737e-11
alpha4GT1,FBgn0031491,alpha4GT1-PA-867,51,41,10,10,2.19753430979646e-13,4.05568691462372e-11
Sgt,FBgn0032640,Sgt-PA-906,813,909,704,739,2.22712715576918e-13,4.09749768116561e-11
OstStt3,FBgn0011336,OstStt3-PA-1420,115,144,323,347,2.3668791245618e-13,4.34109153224754e-11
CG7840,FBgn0032014,CG7840-PA-820,85,80,41,29,2.53370133516927e-13,4.63267286230424e-11
IntS9,FBgn0036570,IntS9-PA-1941,108,104,54,50,2.59380829755388e-13,4.72793612459683e-11
CG9977,FBgn0035371,CG9977-PA-1161,88,104,238,204,2.64114202834543e-13,4.79940202800075e-11
AP-47,FBgn0024833,AP-47-PA-885,145,132,75,80,2.81894465536451e-13,5.10678630234715e-11
CG13865,FBgn0039965,CG13865-PA-568,3353,1056,140,148,2.90213223478158e-13,5.24141056641377e-11
CG9662,FBgn0031529,CG9662-PA-366,56,56,9,21,2.93708712463571e-13,5.28836864044925e-11
CG11882,FBgn0039642,CG11882-PA-681,377,385,269,301,3.20615472130357e-13,5.75529135351813e-11
skap,FBgn0037643,skap-PA-1158,210,201,395,407,3.30467006529441e-13,5.91415771867144e-11
CG11961,FBgn0034436,CG11961-PA-2355,247,271,167,188,3.44100335339922e-13,6.13954006178402e-11
Spn100A,FBgn0039795,Spn100A-PA-1284,21,15,81,69,3.61431539209804e-13,6.42934453091946e-11
trh,FBgn0262139,trh-PA-2253,5,6,43,45,3.70764773418514e-13,6.5755633599251e-11
ubl,FBgn0022224,ubl-PA-195,34,33,3,8,3.97343846127821e-13,7.02584816305893e-11
CG8258,FBgn0033342,CG8258-PA-660,507,576,916,930,4.18573838214487e-13,7.37914439918542e-11
CG8408,FBgn0030850,CG8408-PA-405,25,38,6,2,4.83827691715892e-13,8.50413565992773e-11
Rpb7,FBgn0051155,Rpb7-PA-348,1168,1283,1116,1018,4.88348113627654e-13,8.55811955330029e-11
Ef2b,FBgn0000559,Ef2b-PA-63,21,31,99,84,5.07284537265908e-13,8.86367165735208e-11
CG14257,FBgn0039479,CG14257-PB-295,56,59,160,189,5.10326111975082e-13,8.89051313304554e-11
proPO-A1,FBgn0261362,proPO-A1-PA-1947,55,68,23,14,5.38133580745816e-13,9.34738029755482e-11
CG8176,FBgn0037702,CG8176-PA-2982,221,281,616,563,5.62939600904066e-13,9.7210780556118e-11
CG9170,FBgn0030716,CG9170-PA-3214,17,23,0,0,5.62840631154591e-13,9.7210780556118e-11
fab1,FBgn0028741,fab1-PA-5178,529,562,470,402,5.69466551251094e-13,9.80511824600208e-11
Psc,FBgn0005624,Psc-PA-4578,138,148,311,284,5.8371887762206e-13,1.00212992658732e-10
Eip75B,FBgn0000568,Eip75B-PA-3369,11,10,60,53,6.18767891813492e-13,1.05922301897743e-10
Atg18,FBgn0035850,Atg18-PA-375,119,140,283,266,6.41257945414309e-13,1.09454947226238e-10
Aats-ala-m,FBgn0028962,Aats-ala-m-PA-3013,26,27,4,1,6.82528395144258e-13,1.16163579136685e-10
CG1965,FBgn0037466,CG1965-PA-2598,475,492,393,367,7.06597699315132e-13,1.19914502661359e-10
Trxr-1,FBgn0020653,Trxr-1-PA-1264,309,321,580,562,7.65064751412779e-13,1.29464739509845e-10
gbb,FBgn0024234,gbb-PA-1338,308,354,253,233,8.16345616306834e-13,1.37747826879569e-10
cact,FBgn0000250,cact-PA-1488,154,174,112,87,8.55631069664448e-13,1.43556419637054e-10
CG12018,FBgn0027903,CG12018-PA-1266,312,344,243,237,8.55578343161872e-13,1.43556419637054e-10
Uch-L3,FBgn0011327,Uch-L3-PA-254,263,279,498,505,8.63408328507168e-13,1.44450903866789e-10
Moe,FBgn0011661,Moe-PA-1278,169,158,339,320,9.55377078573277e-13,1.59386043803335e-10
nmdyn-D7,FBgn0028997,nmdyn-D7-PA-945,228,257,161,170,1.03638564573452e-12,1.72413699903631e-10
CG30122,FBgn0050122,CG30122-PB-2343,79,92,191,208,1.0755472936356e-12,1.78426045133514e-10
Best2,FBgn0035696,Best2-PA-1149,18,21,0,0,1.11436372141789e-12,1.84347598485989e-10
fliI,FBgn0000709,fliI-PA-1533,17,14,68,69,1.14332107233229e-12,1.88321496934631e-10
Wnt2,FBgn0004360,Wnt2-PA-804,43,39,152,120,1.14476307019426e-12,1.88321496934631e-10
Mt2,FBgn0028707,Mt2-PA-693,184,200,124,123,1.40696063741859e-12,2.30811892568519e-10
CG5033,FBgn0028744,CG5033-PA-1989,169,163,108,96,1.49063079214113e-12,2.43860590920419e-10
CaBP1,FBgn0025678,CaBP1-PA-776,89,94,211,207,1.59857370845549e-12,2.6079714385073e-10
polybromo,FBgn0039227,polybromo-PA-4923,65,64,28,21,1.60516971227137e-12,2.61151826080779e-10
Gli,FBgn0001987,Gli-PA-2368,133,137,284,279,1.73899430972928e-12,2.82147049296681e-10
Rrp1,FBgn0004584,Rrp1-PA-1873,76,87,35,37,1.8020690946743e-12,2.91579716693903e-10
Ucp4B,FBgn0031758,Ucp4B-PA-244,14,11,76,56,1.84977257134014e-12,2.98480515077066e-10
CG11984,FBgn0037655,CG11984-PD-774,14,15,71,58,2.05516494718074e-12,3.3071915926594e-10
TfIIA-S,FBgn0013347,TfIIA-S-PA-208,216,210,148,136,2.06236176988372e-12,3.30975438602698e-10
mRpL32,FBgn0039835,mRpL32-PA-504,380,380,317,263,2.13233289082568e-12,3.41277278770686e-10
mab-21,FBgn0029003,mab-21-PA-690,153,169,315,330,2.29788342959635e-12,3.66779458338111e-10
CG5613,FBgn0030839,CG5613-PA-1944,231,230,152,163,2.4413044051294e-12,3.88621443552917e-10
sn,FBgn0003447,sn-PA-694,40,38,110,120,2.52734102384275e-12,4.01235769317486e-10
cathD,FBgn0029093,cathD-PA-1140,1025,1076,881,943,2.62757021010467e-12,4.16029601791855e-10
CG14782,FBgn0025381,CG14782-PA-237,187,184,371,353,2.63755062696043e-12,4.16493221730025e-10
CG11009,FBgn0036318,CG11009-PA-1093,401,419,329,306,2.90408696677763e-12,4.57358848223876e-10
CG13373,FBgn0029522,CG13373-PB-142,146,116,63,62,3.31972121116563e-12,5.21425785343137e-10
Sema-1b,FBgn0016059,Sema-1b-PA-1980,70,70,164,176,3.41879640639172e-12,5.3556307206547e-10
CG5554,FBgn0034914,CG5554-PA-182,16,16,66,69,3.81175821973481e-12,5.95541843759519e-10
CG13676,FBgn0035844,CG13676-PA-2035,2800,2909,4413,4313,3.91579159483311e-12,6.10181583133651e-10
Lsp1beta,FBgn0002563,Lsp1beta-PA-2274,11,11,57,54,4.02845911750527e-12,6.26086154109542e-10
fl(2)d,FBgn0000662,fl(2)d-PA-840,389,432,713,706,4.19103641570226e-12,6.49643644720588e-10
mod(mdg4),FBgn0002781,mod(mdg4)-PAA-1308,18,19,0,0,4.37145943756351e-12,6.75836783936193e-10
Act5C,FBgn0000042,Act5C-PA-975,190,197,119,134,4.73860189263303e-12,7.30684988446793e-10
CG17018,FBgn0039972,CG17018-PA-3676,28,33,7,3,4.7919216660527e-12,7.36982577483699e-10
ial,FBgn0024227,ial-PA-795,168,164,351,307,4.86973486378771e-12,7.47004679443051e-10
Phm,FBgn0019948,Phm-PA-999,433,466,379,332,5.08038344429245e-12,7.77298666976745e-10
CG33173,FBgn0053173,CG33173-PA-2526,25,17,1,1,5.10783768820852e-12,7.79479788605216e-10
l(2)06496,FBgn0010622,l(2)06496-PA-441,396,413,309,319,5.17146871468987e-12,7.87156183897305e-10
Tpr2,FBgn0032586,Tpr2-PA-141,63,64,24,25,5.37353316144919e-12,8.15810080845415e-10
crol,FBgn0020309,crol-PA-2076,52,79,189,182,5.52807550553794e-12,8.37120726169384e-10
CG17104,FBgn0040496,CG17104-PA-615,35,56,136,146,5.75194896774995e-12,8.68794378867971e-10
CG9427,FBgn0037721,CG9427-PA-153,396,376,784,914,5.83682717275538e-12,8.79365661144356e-10
CG10075,FBgn0035722,CG10075-PA-749,193,199,126,133,5.89063743025129e-12,8.85214415663564e-10
ppk16,FBgn0065108,ppk16-PA-1075,143,141,82,87,5.97285759620553e-12,8.95291938874889e-10
Cyp6a13,FBgn0033304,Cyp6a13-PA-909,20,20,2,0,6.33273176427498e-12,9.4683157603684e-10
Nat1,FBgn0031020,Nat1-PA-1362,12,9,57,50,6.41423161502893e-12,9.56595178586814e-10
ASPP,FBgn0034606,ASPP-PA-1683,26,29,96,85,6.71920615072005e-12,9.99553845967821e-10
CG1344,FBgn0027507,CG1344-PA-1990,1889,1777,1298,1185,6.81421907906148e-12,1.01114108133471e-09
Gel,FBgn0010225,Gel-PA-2184,224,241,163,160,7.41864380364269e-12,1.09807084149256e-09
CG5482,FBgn0034368,CG5482-PA-832,794,818,1398,1210,8.6718238420913e-12,1.28035143116557e-09
Tpi,FBgn0086355,Tpi-PA-303,841,874,1371,1387,9.08426916913118e-12,1.33790216606122e-09
Fas3,FBgn0000636,Fas3-PA-501,53,53,144,131,9.21212612463723e-12,1.35335757380305e-09
CG9934,FBgn0032467,CG9934-PA-3573,156,158,311,313,1.00257005152808e-11,1.46922536236093e-09
Hsp27,FBgn0001226,Hsp27-PA-173,9,13,56,53,1.00980813032154e-11,1.47616951882499e-09
CG32533,FBgn0052533,CG32533-PA-3045,43,49,13,15,1.01909131720972e-11,1.48606160522892e-09
Npc1a,FBgn0024320,Npc1a-PA-3501,207,238,429,402,1.02235950361759e-11,1.48715535873516e-09
Tsp,FBgn0031850,Tsp-PA-1807,7,6,45,41,1.13679235605421e-11,1.64954994997174e-09
CG7686,FBgn0027525,CG7686-PA-708,254,254,490,439,1.24701905034332e-11,1.80506007537195e-09
Pnn,FBgn0037737,Pnn-PA-819,208,189,379,376,1.26889993730178e-11,1.83224187034642e-09
mod(mdg4),FBgn0002781,mod(mdg4)-PA-1023,267,293,504,505,1.27362415387556e-11,1.83457793364836e-09
CG5794,FBgn0039214,CG5794-PD-10734,17,19,88,65,1.30496554637786e-11,1.87514976248136e-09
CG9172,FBgn0030718,CG9172-PA-594,3136,3327,3100,2918,1.34485160557753e-11,1.92678822855445e-09
Hsc70-3,FBgn0001218,Hsc70-3-PA-441,1,1,28,24,1.3474271705662e-11,1.92678822855445e-09
hh,FBgn0004644,hh-PA-858,54,47,142,124,1.40309647284403e-11,2.00154762060925e-09
Csat,FBgn0024994,Csat-PA-255,5,12,46,51,1.56273936663783e-11,2.22390991602161e-09
esn,FBgn0028642,esn-PA-2157,0,0,23,17,1.71651807774004e-11,2.43687799603778e-09
CG12708,FBgn0030666,CG12708-PA-1146,119,136,69,79,1.77045050325707e-11,2.50741644655531e-09
CkIalpha,FBgn0015024,CkIalpha-PA-94,19,14,69,64,1.85333889001229e-11,2.61852842503219e-09
Rga,FBgn0017550,Rga-PA-1215,2654,2779,4290,3962,1.93306145258549e-11,2.72464781066334e-09
Cortactin,FBgn0025865,Cortactin-PA-168,234,233,424,436,1.97573780565754e-11,2.77816960301245e-09
CG13185,FBgn0033661,CG13185-PB-221,1557,1521,1415,1369,1.98242670359252e-11,2.78095383042202e-09
CG2807,FBgn0031266,CG2807-PA-3639,990,1088,900,927,2.00887497490828e-11,2.81137768407899e-09
CG16972,FBgn0032481,CG16972-PA-5094,224,247,163,169,2.04116525681627e-11,2.84981413089966e-09
CG1597,FBgn0030289,CG1597-PB-766,26,30,92,107,2.0962345023107e-11,2.91979757635531e-09
fax,FBgn0014163,fax-PA-981,199,191,390,350,2.18549353915877e-11,3.03696182201502e-09
CG4586,FBgn0029924,CG4586-PA-2013,168,166,333,319,2.20186425942621e-11,3.05252815570876e-09
CG42574,FBgn0260794,CG42574-PA-3422,606,580,500,488,2.21175432073265e-11,3.05905823592105e-09
bi,FBgn0000179,bi-PA-2887,25,29,82,93,2.21782014242438e-11,3.06028088717989e-09
CG10340,FBgn0022344,CG10340-PA-795,187,184,125,121,2.30198300237812e-11,3.16900960732977e-09
gfzf,FBgn0250732,gfzf-PB-3087,129,129,255,272,2.60776950121949e-11,3.58161979541908e-09
BEAF-32,FBgn0015602,BEAF-32-PA-4,528,508,414,435,2.72831286872531e-11,3.73848495130347e-09
CkIIalpha,FBgn0000258,CkIIalpha-PA-441,297,303,223,225,2.82459847211561e-11,3.86146149458804e-09
CG10948,FBgn0036317,CG10948-PC-1659,2,10,40,41,2.83342367507441e-11,3.86458049428509e-09
CG13364,FBgn0026879,CG13364-PA-78,187,174,128,110,3.02819624983175e-11,4.12071921941391e-09
dom,FBgn0020306,dom-PA-5855,141,112,392,319,3.07255682916069e-11,4.17147267164534e-09
gbb,FBgn0024234,gbb-PA-796,37,36,8,9,3.13773717409148e-11,4.25019454191501e-09
ogre,FBgn0004646,ogre-PA-225,64,72,173,151,3.23214572854444e-11,4.36805634865852e-09
Gp150,FBgn0013272,Gp150-PA-2790,436,490,818,740,3.38254839780693e-11,4.56087998350871e-09
CG11686,FBgn0040551,CG11686-PA-169,15,19,0,0,3.40265530454662e-11,4.57074712840734e-09
CG3184,FBgn0029892,CG3184-PA-1008,58,72,31,23,3.40534514629555e-11,4.57074712840734e-09
Nup214,FBgn0010660,Nup214-PA-2742,165,160,319,315,3.48339628186662e-11,4.66490742889974e-09
CG10077,FBgn0035720,CG10077-PA-2304,935,943,1494,1485,3.51029891874014e-11,4.69029940142432e-09
CG18273,FBgn0029525,CG18273-PA-3585,48,49,17,15,3.56154985753522e-11,4.74803637666625e-09
Pep,FBgn0004401,Pep-PB-834,5,10,48,40,3.63850446869588e-11,4.83970263315858e-09
bif,FBgn0014133,bif-PB-3244,88,74,181,187,3.66069888471542e-11,4.85828212884322e-09
CG1532,FBgn0031143,CG1532-PA-754,402,419,328,324,3.76984410718248e-11,4.99191599286957e-09
ics,FBgn0028546,ics-PA-660,113,116,63,66,3.81887040542109e-11,5.0455223356456e-09
metl,FBgn0035247,metl-PA-747,123,118,69,70,4.22422762225941e-11,5.56862577936152e-09
Eip63E,FBgn0005640,Eip63E-PA-1113,171,172,336,324,4.32400584460291e-11,5.68746407952247e-09
Ef1beta,FBgn0028737,Ef1beta-PA-675,3337,3346,3260,3013,4.37325227622616e-11,5.73945628731922e-09
CG3328,FBgn0034985,CG3328-PA-3571,56,59,135,150,4.74088314997738e-11,6.20813918118324e-09
eIF-4a,FBgn0001942,eIF-4a-PA-672,481,452,802,763,5.13999710147476e-11,6.71588382342692e-09
rin,FBgn0015778,rin-PA-1803,64,66,159,196,5.15983017781637e-11,6.72691502519822e-09
bel,FBgn0263231,bel-PA-1323,97,90,220,187,5.69222673779421e-11,7.4046591779879e-09
CG12379,FBgn0030676,CG12379-PB-500,27,27,6,3,5.85532314312208e-11,7.60008075135173e-09
Rpn11,FBgn0028694,Rpn11-PA-492,1086,1111,970,986,6.0511564483876e-11,7.83704380545778e-09
Nat1,FBgn0031020,Nat1-PA-1596,152,173,309,320,6.55203975858471e-11,8.46718520924499e-09
CG32201,FBgn0052201,CG32201-PB-1413,16,17,0,0,6.74673070960526e-11,8.69974721065213e-09
Fps85D,FBgn0000723,Fps85D-PA-3516,34,28,3,8,6.80592620088278e-11,8.75695837846917e-09
blw,FBgn0011211,blw-PA-309,291,315,565,500,7.06138142438611e-11,9.06589269916075e-09
NitFhit,FBgn0024945,NitFhit-PA-1219,21,13,0,0,7.19368995310802e-11,9.21572540673868e-09
Cyp6v1,FBgn0031126,Cyp6v1-PA-568,1,0,24,22,7.21732878611994e-11,9.22599574568553e-09
Hsp27,FBgn0001226,Hsp27-PA-376,2365,2495,3775,3574,7.79640910721699e-11,9.94471553032443e-09
CG11070,FBgn0028467,CG11070-PA-2892,4,8,44,35,7.87596157191653e-11,1.00245374679794e-08
Nc,FBgn0026404,Nc-PA-529,9,16,54,58,8.1227390503202e-11,1.03164026415873e-08
Hsp67Ba,FBgn0001227,Hsp67Ba-PA-972,106,116,251,213,8.33629006349302e-11,1.05649059778921e-08
CG4747,FBgn0043456,CG4747-PA-294,0,2,28,21,8.73341676025779e-11,1.10444995080793e-08
CG13731,FBgn0036717,CG13731-PB-67,12,5,55,44,9.00450332151856e-11,1.13629905376548e-08
Iswi,FBgn0011604,Iswi-PA-997,25,24,80,80,9.58400433344998e-11,1.20684888683345e-08
Cam,FBgn0000253,Cam-PA-213,93,114,222,216,9.63717407579297e-11,1.21096218418762e-08
Acyp2,FBgn0038363,Acyp2-PA-94,223,203,144,155,1.01841780095272e-10,1.27427369679376e-08
Tctp,FBgn0037874,Tctp-PA-480,3295,3513,3345,3076,1.0181629236839e-10,1.27427369679376e-08
Dll,FBgn0000157,Dll-PA-582,6,10,42,48,1.03572909671849e-10,1.29319427048627e-08
CG32113,FBgn0052113,CG32113-PB-11729,56,60,25,21,1.04976510251955e-10,1.30795416507594e-08
Aats-thr,FBgn0027081,Aats-thr-PA-1084,9,9,45,49,1.05267569259234e-10,1.30881939059197e-08
CG11307,FBgn0037106,CG11307-PA-980,260,265,202,186,1.10303378552755e-10,1.36854977532954e-08
Nurf-38,FBgn0016687,Nurf-38-PA-285,64,74,153,168,1.1084609610556e-10,1.37240015593336e-08
Noa36,FBgn0026400,Noa36-PA-675,55,63,152,135,1.17889826676568e-10,1.45655593804702e-08
Nup75,FBgn0034310,Nup75-PA-1912,137,120,82,73,1.19746620639823e-10,1.47640833439387e-08
CG8001,FBgn0035268,CG8001-PA-1107,86,74,175,184,1.23990191531699e-10,1.52554431905814e-08
miple2,FBgn0029002,miple2-PA-522,4061,4183,6377,5905,1.27988857906134e-10,1.57146901667785e-08
CG17279,FBgn0038850,CG17279-PB-191,0,0,17,19,1.33805732085184e-10,1.62939429664755e-08
CG7185,FBgn0035872,CG7185-PA-1246,2720,2797,4234,4055,1.33047638861023e-10,1.62939429664755e-08
eIF3-S9,FBgn0034237,eIF3-S9-PA-1984,590,668,571,500,1.33810192331955e-10,1.62939429664755e-08
wah,FBgn0262527,wah-PD-2478,0,0,18,18,1.33805732085184e-10,1.62939429664755e-08
Aats-arg,FBgn0027093,Aats-arg-PA-1101,20,13,0,0,1.36985137308578e-10,1.66171330655868e-08
pain,FBgn0060296,pain-PA-1985,313,317,574,523,1.37027054809523e-10,1.66171330655868e-08
CG14806,FBgn0029594,CG14806-PA-429,706,663,491,432,1.46467782958694e-10,1.7725603126997e-08
CG8777,FBgn0033376,CG8777-PA-3123,134,125,74,84,1.50419712316726e-10,1.81666408384483e-08
Pep,FBgn0004401,Pep-PB-892,94,101,209,207,1.50943619850284e-10,1.81927108186083e-08
ari-2,FBgn0025186,ari-2-PA-1341,34,47,118,101,1.54702120106196e-10,1.86077348456857e-08
CG1896,FBgn0039870,CG1896-PA-626,129,134,80,81,1.62987094938262e-10,1.95644143350892e-08
eIF3-S8,FBgn0034258,eIF3-S8-PA-700,0,3,28,23,1.65204271369784e-10,1.97903323702976e-08
fdl,FBgn0045063,fdl-PB-1788,26,21,76,79,1.7654557022848e-10,2.11061301347238e-08
Gas41,FBgn0031873,Gas41-PA-162,280,315,215,238,1.79996061386527e-10,2.14751664512434e-08
pio,FBgn0020521,pio-PC-430,646,627,554,534,1.84632370306031e-10,2.1983908317608e-08
Mkp,FBgn0083992,Mkp-PA-516,97,98,57,49,1.85507586514133e-10,2.20436761455768e-08
porin,FBgn0004363,porin-PA-338,227,276,590,505,1.90391673270902e-10,2.25786173494637e-08
D12,FBgn0027490,D12-PA-2434,220,233,169,157,1.908870902368e-10,2.25920035575249e-08
fra,FBgn0011592,fra-PA-4110,190,191,355,356,1.93215085307251e-10,2.28217930161512e-08
TppII,FBgn0020370,TppII-PA-3906,4678,4123,3272,3043,1.95360354128314e-10,2.30291253375449e-08
l(2)k09913,FBgn0021979,l(2)k09913-PA-702,309,349,563,571,1.97936018883109e-10,2.32862657434237e-08
